Month_No,Month_Label,Avg_BMI,Avg_Weight_kg,Avg_Height_cm,Pct_Dewormed,Pct_Vitamins_Intake,Pct_Immunization,Pct_Vaccination,Age_Group_0_3_pct,Age_Group_4_6_pct,Pct_Improved_Next_Month
1,Jan-2020,13.57,10.27,81.3,36.3,28.6,29.6,30.4,46.5,53.5,32.4
2,Feb-2020,13.61,10.27,80.9,35.2,27.0,28.3,28.0,43.1,56.9,34.3
3,Mar-2020,13.43,10.15,81.8,35.3,30.8,29.6,29.0,45.5,54.5,33.4
4,Apr-2020,13.65,10.38,81.2,35.5,34.4,32.5,29.1,47.1,52.9,34.2
5,May-2020,13.66,10.18,80.9,37.5,33.6,33.6,31.4,45.0,55.0,34.8
6,Jun-2020,13.55,10.55,82.0,38.5,30.7,34.7,31.9,44.4,55.6,38.2
7,Jul-2020,13.84,10.89,81.4,38.4,34.7,36.5,32.6,45.5,54.5,37.0
8,Aug-2020,13.54,10.94,82.4,39.5,36.6,36.5,33.2,46.7,53.3,41.1
9,Sep-2020,13.74,11.15,80.9,41.7,36.1,36.3,35.2,42.2,57.8,39.8
10,Oct-2020,13.83,11.2,81.9,40.0,36.1,39.0,36.5,45.2,54.8,41.6
11,Nov-2020,13.82,11.17,81.9,41.5,37.1,36.3,37.3,46.9,53.1,41.9
12,Dec-2020,13.81,10.76,82.1,42.3,37.4,39.1,38.4,50.3,49.7,43.0
13,Jan-2021,13.91,11.1,81.7,43.6,39.6,43.8,38.4,47.3,52.7,43.6
14,Feb-2021,13.73,11.41,82.9,45.6,39.0,43.1,37.4,48.0,52.0,47.2
15,Mar-2021,13.79,11.13,82.7,44.5,38.9,41.9,38.8,47.9,52.1,44.3
16,Apr-2021,14.2,11.16,82.7,47.3,40.3,43.0,43.3,43.9,56.1,46.5
17,May-2021,14.03,11.54,82.4,44.9,43.8,44.0,42.6,47.9,52.1,46.4
18,Jun-2021,14.06,11.51,82.7,50.4,44.6,42.6,44.1,45.4,54.6,49.0
19,Jul-2021,14.23,11.35,83.5,49.1,46.0,48.1,43.6,46.0,54.0,47.9
20,Aug-2021,13.97,11.57,83.4,49.7,46.8,46.1,47.0,47.1,52.9,53.1
21,Sep-2021,14.21,11.48,83.0,50.8,46.1,48.0,46.5,47.7,52.3,49.7
22,Oct-2021,13.92,11.63,83.9,51.2,45.5,48.0,47.2,46.2,53.8,51.8
23,Nov-2021,14.19,11.56,83.8,52.5,49.8,50.2,45.5,46.2,53.8,53.1
24,Dec-2021,14.29,11.96,85.3,53.3,50.8,50.9,49.4,47.6,52.4,54.3
25,Jan-2022,14.13,11.88,83.7,53.4,53.4,47.5,50.3,45.2,54.8,53.7
26,Feb-2022,14.44,12.0,83.6,53.0,51.9,50.0,50.5,48.6,51.4,54.4
27,Mar-2022,14.63,12.18,83.3,55.2,50.7,53.3,49.9,48.4,51.6,56.7
28,Apr-2022,14.47,11.89,84.1,55.0,51.6,55.5,52.6,46.3,53.7,58.1
29,May-2022,14.69,12.4,83.7,55.8,55.4,52.6,53.5,50.5,49.5,56.7
30,Jun-2022,14.39,11.61,84.1,56.9,52.5,57.0,51.6,48.2,51.8,58.9
31,Jul-2022,14.65,12.04,85.1,58.1,53.7,56.0,54.9,48.0,52.0,59.7
32,Aug-2022,14.4,12.42,85.0,61.3,54.2,59.4,52.6,49.1,50.9,61.2
33,Sep-2022,14.53,12.34,84.7,59.0,56.1,58.3,56.9,48.1,51.9,62.5
34,Oct-2022,14.57,12.69,85.2,59.2,57.0,59.0,58.2,49.6,50.4,62.4
35,Nov-2022,14.75,12.48,85.3,61.0,58.4,60.4,59.4,51.4,48.6,64.7
36,Dec-2022,14.59,12.8,85.1,62.6,59.4,59.7,59.9,48.3,51.7,66.6
37,Jan-2023,14.46,12.49,85.8,64.1,61.4,61.4,59.9,48.3,51.7,65.0
38,Feb-2023,14.54,13.0,85.4,62.5,60.8,61.9,60.0,48.6,51.4,66.1
39,Mar-2023,14.71,12.77,85.4,64.9,60.0,60.0,60.6,49.9,50.1,67.1
40,Apr-2023,14.93,13.11,85.6,65.3,61.6,62.9,62.2,51.1,48.9,66.6
41,May-2023,14.82,13.31,85.7,66.7,65.0,63.2,63.8,50.7,49.3,68.6
42,Jun-2023,14.65,13.08,86.1,69.1,66.2,67.9,63.2,52.5,47.5,69.6
